prices,time,station,address,gratis,fuel,chain
Unknown,Unknown,AVIA Xpress Waalwijk,"Noorder Parallelweg 53, Waalwijk",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Uden,"Bitswijk 4, Uden",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Oudewater,"Wilgenweg 4, OUDEWATER",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Oudewater,"Wilgenweg 4, Oudewater",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Schoonhoven,"Broeikweg 3, Schoonhoven",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Volendam,"Julianaweg 129, Volendam",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress UITHOORN,"Anthony Fokkerweg 26, Uithoorn",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Tilburg Noord,"Brucknerlaan 14 14, TILBURG",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Tilburg Noord,"Brucknerlaan 14, Tilburg",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Uithoorn,"Heijermanslaan 2, Uithoorn",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Arnhem,"Graaf Lodewijkstraat 103, Arnhem",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Purmerenderweg,"Purmerenderweg P 2, Purmerend",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Tilburg Zevenheuvelenweg,"Zevenheuvelenweg 24, Tilburg",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Purmerend,"Burgemeester D. Kooimanweg 14, PURMEREND",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Purmerend,"Burg. D. Kooimanweg 14, Purmerend",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Eindhoven Hoppenkuil,"Hoppenkuil 29, Eindhoven",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Amsterdam Isolatorweg,"Isolatorweg 40, Amsterdam",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Middelbeers,"Hoogdijk 5, Middelbeers",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Beek en Donk,"Orchideestraat 1, Beek en Donk",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Badhoevedorp,"Nieuwe Meerdijk 140, Badhoevedorp",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Nuenen,"Berg 64, Nuenen",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Kudelstaart,"Madame Curiestraat 3, Kudelstaart",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Eindhoven Frankrijkstraat,"Frankrijkstraat 7, Eindhoven",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Cuijk,"Het Zand 13, Cuijk",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Apeldoorn,"Oude Beekbergerweg 98, Apeldoorn",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Esbeek,"Notelstraat 44, Esbeek",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Stiphout,"Claassensstraat 5, Stiphout",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Eindhoven de Hurk,"Rooijakkerstraat 12a, Eindhoven",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Rijen,"Heistraat 13aa, RIJEN",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Rijen,"Heistraat 13a, Rijen",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Lutjebroek,"Pieter Janszoon Jongstraat 83, Lutjebroek",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Gendt,"Dorpstraat 21, Gendt",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Middenbeemster,"Middenweg 131, Middenbeemster",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Vessem,"Wilhelminalaan 3, Vessem",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Zwaag,"De Marowijne 53, Zwaag",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Emst,"Hoofdweg 13, Emst",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Avenhorn,"Het Hoog 9, Avenhorn",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Andijk Zuidkaap,"Zuidkaap 2, Andijk",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Nibbixwoud Dorpsstraat,"Dorpsstraat 21, Nibbixwoud",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Nibbixwoud Ganker,"Ganker 48, Nibbixwoud",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Bakel,"Roessel 2, Bakel",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Andijk Dijkweg,"Dijkweg 329, Andijk",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Oploo,"Vloetweg 33, Oploo",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Gorssel,"Molenweg 58, Gorssel",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Oostwoud,"Heemraadwitweg 2, Oostwoud",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Teuge,"Woudweg 7, Teuge",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Gennep,"Spoorstraat 118, Gennep",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Assendelft,"Dorpsstraat 357-359, Assendelft",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Medemblik,"Schootsvel 1, Medemblik",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Nijbroek,"Middendijk 45, Nijbroek",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Breda Belcrumweg,"Belcrumweg 57, Breda",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Oene,"Horthoekerweg 8, Oene",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Hoogwoud,"Ooster Boekelweg 1c, HOOGWOUD",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Hoogwoud,"Oosterboekelweg 1C, Hoogwoud",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Abbenes,"Hoofdweg 1565, Abbenes",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Uitgeest,"Spoorlaan 35, Uitgeest",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Winkel,"Dorpsstraat 158, Winkel",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Haarlem,"Julianalaan 295, Haarlem",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Liessel,"Monseigneur Berkvensstraat 61, LIESSEL",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Liessel,"Mgr. Berkvensstraat 61, Liessel",,Aardgas,AVIA Xpress
Unknown,Unknown,AVIA Xpress Someren,"Boerenkamplaan 113A, Someren",,Aardgas,AVIA Xpress
